M	CH
1	1.25
2	2.5
3	2.5
2.25	2
2.25	1.5
1.5	1.5
2.5	1.5
1	1.25
3	2
1.75	2.5
1.75	1.75
2	2
2.5	2.75
2.25	2.6
1	1.5
2.5	1.75
1.5	1.25
1	1
1.5	1.75
2	2
2	1
2.5	1.75
1.25	1.33
1	1
1.5	2
1	1
2	1
2.75	2
2.25	2.5
1.5	2
1.75	1.5
2.25	2.25
2.25	1.75
1.5	1
2	2
1	1
2	1.25
2.75	1.33
2.5	1.5
2.25	2
1	1
2	1.75
2.25	1.75
2.25	2.25
2.25	1.5
1	1
2	2.25
1.75	1.75
1.75	2.75
1.75	1
1	1.4
1	1
1	1.5
2.25	1.5
2.75	1.5
1.2	1.4
2.5	1.5
1.75	2
2	1.25
2	1
1.75	2
2	1.25
1	1
1	1
2.25	1.33
1.25	1.25
1.75	1.75
3	3
1.75	2.75
2	1.5
1.5	1
1.75	1
2.5	1.75
1	1
1.6	1
2.25	2
2	1.5
1	1
1.5	1.25
1.25	1.75
1.5	1
1.25	1.75
1	1
1.75	1
2.75	1.5
1.6	1.2
2.25	1.5
1	1.75
3.25	3
1	1
1.25	1.75
2.5	1.4
2	2
2.25	2
2	1.25
1.5	1.25
2.75	2.25
1.5	1.25
1	1
2.75	2.2
