1PP	2PP
61	74
72	93
81	60
86	75
74	48
90	87
57	23
58	3
90	59
81	25
95	69
96	57
100	86
80	86
19	81
46	53
78	51
72	65
27	54
100	89
55	61
85	35
81	34
42	43
85	75
73	10
41	5
70	73
81	58
65	56
86	63
49	15
85	83
68	70
71	79
82	66
80	81
58	57
30	70
95	84
99	96
82	75
84	76
41	41
86	84
77	8
60	33
39	48
96	73
83	82
74	34
61	41
82	95
70	59
87	81
60	47
78	75
71	96
21	62
65	17
86	92
55	50
87	60
85	72
78	77
82	71
55	46
71	77
94	91
88	87
52	5
63	68
