"Student(ka)"	"1. PP"	"2.PP"
1	43	65
2	37	43
3	27	7
4	33	70
5	41	19
6	55	34
7	82	50
8	48	52
9	19	11
10	68	88
11	8	3
12	24	16
13	48	57
14	74	37
15	50	72
16	58	24
17	61	37
18	57	14
19	62	60
20	43	41
21	54	40
22	48	66
23	40	13
24	35	38
25	76	75
26	66	20
27	69	86
28	21	29
29	90	69
30	73	42
31	87	93
32	23	14
33	68	60
34	11	9
35	46	2
36	42	38
37	54	34
38	48	33
39	88	72
40	17	41
41	30	36
42	72	85
43	55	27
44	2	0
45	2	5
46	48	33
47	76	31
48	41	69
49	85	85
50	42	39
51	74	43
52	54	48
53	72	17
54	31	27
55	50	69
56	89	60
57	20	2
58	10	24
59	84	87
60	91	92
61	76	35
62	53	72
63	37	43
64	35	46
65	47	52
66	28	39
67	35	27
68	76	62
69	8	0
70	19	25
71	68	40
72	58	47
73	28	33
74	27	30
75	84	67
76	40	29
77	26	15
78	79	81
79	78	89
80	42	64
81	73	49
82	66	53
83	25	11
84	9	45
85	24	17
86	95	76
87	52	47
88	14	15
89	30	1
90	18	5
91	58	51
92	42	71
93	0	0
94	42	26
95	89	95
96	26	15
97	70	85
98	19	11
99	34	49
100	53	54
101	42	30
102	63	60
103	54	36
104	5	27
105	98	68
106	86	91
107	49	19
108	52	49
109	42	38
110	24	15
111	5	0
112	79	93
113	65	46
114	30	22
115	35	58
116	34	10
117	21	18
118	69	60
119	82	59
120	70	50
121	86	53
122	67	71
123	71	55
124	88	62
125	31	3
126	29	13
127	15	1
128	26	21
129	20	1
130	31	24
131	43	76
132	24	46
133	53	27
134	36	1
135	35	27
136	78	78
137	55	75
138	25	1
139	17	1
140	41	59
141	81	79
142	0	53
143	55	27
144	59	40
145	68	46
146	37	5
147	64	63
148	41	67
149	37	45
150	17	17
151	65	39
152	48	42
153	59	33
154	29	16
155	43	37
156	67	47
157	30	14
158	47	38
159	30	55
160	32	38
161	21	13
162	94	83
163	74	58
164	37	17
165	48	20
166	51	47
167	31	10
168	57	29
169	37	13
170	30	44
171	71	29
172	43	27
173	35	45
174	7	3
175	36	25
176	41	39
177	24	31
178	51	16
179	79	77
180	55	35
181	47	71
182	39	30
183	2	2
184	68	63
185	32	18
186	29	17
187	6	3
188	57	33
189	32	31
190	47	34
191	11	21
192	3	0
193	31	39
194	31	64
195	86	55
196	17	2
197	53	80
198	42	58
199	19	45
200	65	70
201	90	87
202	60	68
203	10	18
204	37	23
205	50	45
206	32	18
207	32	24
208	12	0
209	81	48
210	12	3
211	47	61
212	73	47
213	12	10
214	60	36
215	64	37
216	66	29
217	47	37
218	10	7
219	88	60
220	51	43
221	6	1
222	45	48
223	99	82
224	67	35
225	22	14
226	88	54
227	50	69
228	28	16
229	41	52
230	57	64
231	58	37
232	83	50
233	78	85
234	30	50
235	29	37
236	34	22
237	16	20
238	15	26
239	37	36
240	65	25
241	61	62
242	35	40
243	51	72
244	15	19
245	63	23
246	2	1
247	12	3
248	25	26
249	6	0
250	36	12
251	11	0
252	88	44
253	35	45
254	51	12
255	26	4
256	0	0
257	17	15
258	41	39
259	54	72
260	74	56
261	15	18
262	38	6
263	65	53
264	25	15
265	36	26
266	13	35
267	45	45
268	55	62
269	27	12
270	51	45
271	68	83
272	46	21
273	51	32
274	0	2
275	73	60
276	12	10
277	72	61
278	43	23
279	12	6
280	77	29
281	29	37
282	30	24
283	27	0
284	31	47
285	48	26
286	42	14
287	43	71
288	68	65
289	43	78
290	17	45
291	34	46
292	24	6
293	76	39
294	30	68
295	15	11
296	27	9
297	38	19
298	73	49
299	57	45
300	36	55
301	66	22
302	59	46
303	69	46
304	17	0
305	25	36
306	70	44
307	46	34
308	30	34
309	48	33
310	31	14
311	20	30
312	42	65
313	88	70
314	59	41
315	12	30
316	46	34
317	22	14
318	49	32
319	42	10
320	22	13
321	31	9
322	53	38
323	69	43
324	18	14
325	18	6
326	44	39
327	75	53
328	35	7
329	41	58
330	44	16
331	35	31
332	44	29
333	62	39
334	76	54
335	57	24
336	48	14
337	69	57
338	60	58
339	53	46
340	42	48
341	24	9
342	73	37
343	50	23
344	27	36
345	93	42
346	71	57
347	43	47
348	3	9
349	40	43
350	69	49
351	41	41
352	78	71
353	72	36
354	36	35
355	39	50
356	11	13
357	46	42
358	38	74
359	56	43
360	10	25
361	18	12
362	29	21
363	78	57
364	51	58
365	28	11
366	16	6
367	72	55
368	43	27
369	61	37
370	54	40
371	73	57
372	84	52
373	56	56
374	22	11
375	34	46
376	55	39
377	17	2
378	15	71
379	67	25
380	54	26
381	38	47
382	20	37
383	33	10
384	85	65
385	87	83
386	43	22
387	37	17
388	93	99
389	41	73
390	73	59
391	39	54
392	75	47
393	60	59
394	56	44
395	49	47
396	46	40
397	14	1
398	67	76
399	9	0
400	37	36
401	32	15
402	13	1
403	12	4
404	77	44
405	56	70
406	3	4
407	24	34
408	36	58
409	40	6
410	89	77
411	55	66
412	77	32
413	72	58
414	49	81
415	90	56
416	52	16
417	44	81
418	34	57
419	41	62
420	20	5
421	16	34
422	54	56
423	12	11
424	54	54
425	23	1
426	6	16
427	67	95
428	73	47
429	80	79
430	22	77
431	76	35
432	22	12
433	36	14
434	44	23
435	36	47
436	40	21
437	77	27
438	18	0
439	43	37
440	35	38
441	52	59
442	78	94
443	12	5
444	55	47
445	72	34
446	48	51
447	14	42
448	57	52
449	70	40
450	47	19
451	25	35
452	80	41
453	98	72
454	70	40
455	32	40
456	22	17
457	46	48
458	32	23
459	42	38
460	33	67
461	32	54
462	15	62
463	37	59
464	100	94
465	39	43
466	89	100
467	58	26
468	69	65
469	36	14
470	82	56
471	53	21
472	58	39
473	22	33
474	47	88
475	56	27
476	71	68
477	8	9
478	49	31
479	51	37
480	64	42
481	22	30
482	35	15
483	3	0
484	46	40
485	47	50
486	57	14
487	48	38
488	68	46
489	63	30
490	66	60
491	26	24
492	70	35
493	68	62
494	81	62
495	31	28
496	23	36
497	22	47
498	43	50
499	59	62
500	39	28
501	70	39
502	78	50
503	60	44
504	94	80
505	54	76
506	43	44
507	19	0
508	24	6
509	18	8
510	25	26
511	45	25
512	35	26
513	43	25
514	98	84
515	37	28
516	68	62
517	36	11
518	58	54
519	18	14
520	59	79
521	39	4
522	29	5
523	81	63
524	4	10
525	70	72
526	7	27
527	34	61
528	55	32
529	64	37
530	42	38
531	75	54
532	41	60
533	25	34
534	44	39
535	28	22
536	49	19
537	76	66
538	72	43
539	59	96
540	60	20
541	92	84
542	0	0
543	13	6
544	16	8
545	52	61
546	47	31
547	57	62
548	40	43
549	53	28
550	39	26
551	48	62
552	32	52
553	85	66
554	60	53
555	24	5
556	75	67
557	86	71
558	24	30
559	52	43
560	15	12
561	40	51
562	27	38
563	49	64
564	1	2
565	85	70
566	33	7
567	69	50
568	18	0
569	53	58
570	19	20
571	30	32
572	92	53
573	57	42
574	53	54
575	74	35
576	79	45
577	47	74
578	34	26
579	93	76
580	24	36
581	87	97
582	64	53
583	14	6
584	46	65
585	75	52
586	66	66
587	66	42
588	64	44
589	40	22
590	40	15
591	82	49
592	85	42
593	20	41
594	79	48
595	76	77
596	66	51
597	10	0
598	41	43
599	52	32
600	80	87
601	83	54
602	40	47
603	58	37
604	52	28
605	64	57
606	47	41
607	70	35
608	31	36
609	57	28
610	34	46
611	83	34
612	45	55
613	43	56
614	31	31
615	35	58
616	68	26
617	52	74
618	22	7
619	73	47
620	57	43
621	41	29
622	79	91
623	51	52
624	67	51
625	45	21
626	28	40
627	26	11
628	37	52
629	42	31
630	36	5
631	17	2
632	76	26
633	80	61
634	57	42
635	65	43
636	25	16
637	52	28
638	95	76
639	41	55
640	42	22
641	66	53
642	12	6
643	18	32
644	41	28
645	51	35
646	98	94
647	14	1
648	64	35
649	99	93
650	3	12
651	98	69
652	2	7
653	26	14
654	69	70
655	24	28
656	45	35
657	30	50
658	64	27
659	27	21
660	13	48
661	34	27
662	67	71
663	68	39
664	23	39
665	37	21
666	55	42
667	94	38
668	42	42
669	47	68
670	81	69
671	39	30
672	65	35
673	69	34
674	47	64
675	38	30
676	44	46
677	60	41
678	79	87
679	65	44
680	14	10
681	39	27
682	33	29
683	43	41
684	21	48
685	78	32
686	18	37
687	35	56
688	22	30
689	31	44
690	23	53
691	54	11
692	5	12
693	49	56
694	30	42
695	66	51
696	72	48
697	30	31
698	64	49
699	23	52
700	57	32
701	64	21
702	83	78
703	70	78
704	44	77
705	73	24
706	17	16
707	45	21
708	38	49
709	58	8
710	61	58
711	59	62
712	13	11
713	40	61
714	35	21
715	59	48
716	59	72
717	36	59
718	67	83
719	23	10
720	64	68
721	16	27
722	35	32
723	17	4
724	31	25
725	40	24
726	36	56
727	50	16
728	10	4
729	50	44
730	34	13
731	12	8
732	47	60
733	34	9
734	85	61
735	74	46
736	83	65
737	30	6
738	58	39
739	45	25
740	42	21
741	56	55
742	31	20
743	59	45
744	69	44
745	27	24
746	46	59
747	82	97
748	13	1
749	80	78
750	71	64
751	9	10
752	49	17
753	24	71
754	55	46
755	53	48
756	94	77
757	41	81
758	15	23
759	36	37
760	59	58
761	89	88
762	44	28
