M CH D ZSV
1 1.25 2.25 1.04
2 2.5 2.5 1.06
3 2.5 3 1.08
2.25 2 2 1.04
2.25 1.5 1.75 1.03
1.5 1.5 1.2 1.04
2.5 1.5 3 1.06
1 1.25 2.25 1.05
3 2 2.25 1
1.75 2.5 3 1
1.75 1.75 3 1.07
2 2 2.5 1.06
2.5 2.75 1.25 1.03
2.25 2.6 1.25 1.03
1 1.5 1.2 1.01
2.5 1.75 1.75 1.05
1.5 1.25 2.5 1.05
1 1 1.6 1.07
1.5 1.75 3 1.1
2 2 1.75 1.04
2 1 2.25 1.04
2.5 1.75 2.5 1.06
1.25 1 1.25 1.02
1 1 1.6 1.03
1.5 2 1.25 1
1 1 1 1
2 1 3 1.08
2.75 2 2 1.04
2.25 2.5 2.75 1.06
1.5 2 1.75 1.03
1.75 1.5 1 1.02
2.25 2.25 2.75 1.05
2.25 1.75 2 1.04
1.5 1 3 1.08
2 2 1.75 1.04
1 1 2 1.04
2 1.25 2.5 1.05
2.75 1.33 1.2 1.01
2.5 1.5 1 1
2.25 2 1.25 1.01
1 1 2.75 1.06
2 1.75 1 1
2.25 1.75 1.5 1.03
2.25 2.25 1.5 1.05
2.25 1.5 2.75 1.06
1 1 2 1.04
2 2.25 1.2 1.01
1.75 1.75 2.5 1.05
1.75 2.75 2 1.05
1.75 1 1 1.01
1 1.4 2.25 1.05
1 1 1.5 1.03
1 1.5 1 1
2.25 1.5 1.5 1.03
2.75 1.5 1.25 1.03
1.2 1.4 3 1.08
2.5 1.5 1.6 1.1
1.75 2 1.25 1.02
2 1.25 1.2 1.03
2 1 1.6 1.05
1.75 2 2.5 1.05
2 1.25 1.75 1.03
1 1 2.25 1.05
1 1 1.75 1.07
2.25 1.33 2.75 1.08
1.25 1.25 2.5 1.06
1.75 1.75 1.2 1.01
3 3 2.5 1.05
1.75 2.75 1 1
2 1.5 1.2 1.02
1.5 1 2 1.05
1.75 1 2 1.05
2.5 1.75 1.2 1.02
1 1 1.25 1.02
1.6 1 1.2 1.02
2.25 2 2.75 1.08
2 1.5 1.2 1.01
1 1 2 1.04
1.5 1.25 1.6 1.03
1.25 1.75 4 1.07
1.5 1 2.75 1.05
1.25 1.75 2.75 1.06
1 1 3 1.08
1.75 1 2.5 1.06
2.75 1.5 2 1.04
1.6 1.2 1.25 1.02
2.25 1.5 1.75 1.03
1 1.75 2.25 1.08
3.25 3 1.6 1.03
1 1 3 1.08
1.25 1.75 2 1.08
2.5 1.4 2.25 1.08
2 2 1.5 1.02
2.25 2 1.2 1.02
2 1.25 2.75 1.05
1.5 1.25 1.5 1.03
2.75 2.25 1.25 1.02
1.5 1.25 2.75 1.05
1 1 2.75 1.06
2.75 2.2 2 1.04
