"stara" "nova"
108.108 108.13
108.455 108.009
108.526 108.019
108.062 107.514
108.254 108.165
108.27 107.864
108.16 108.125
108.083 107.679
107.526 108.146
108.453 107.93
107.449 107.963
108.055 107.915
107.946 107.701
107.793 108.079
107.834 107.935
108.176 107.44
108.109 107.577
107.515 107.912
107.551 108.016
107.715 107.882
108.275 107.762
107.832 108.216
108.552 107.798
107.901 108.052
108.203 107.908
108.165 108.478
107.242 108.146
107.542 107.538
107.822 107.814
107.796 108.157
